abasshen,abash
firsting,lending
first-līk,first
fish,fish
fishen,fish
fisher,fish
fishing,fishing
fissūrāl,fissure
fīst,fart
fistūlēr,fistula
fistūling,festering
fitheling,singing
fitlok,fetlock
fitten,fitting
fixen,fox
flabband,flapping
flāde,flake
flagging,flagstones
flāgrant,radiant
flāken,flakes
flakeren,flutter
flakken,flutter
flapperen,flap
flapping,clapping
flask,cask
flaskisāble,unstable
flateren,flit
flatling,flat
flat-mǒuthed,mouthed
flatǒur,flatters
flatrīse,flattery
flaue,flake
flaume,flame
flaumen,blaze
flauming,blazing
flauring,smelling
fleare,flame
fleǧǧe,fledged
fleǧnesse,fledged
fleobotomiēr,phlebotomy
flepering,jabbering
fleum,phlegm
flex,flax
flexen,linen
flexer,flax
flexīble,pliable
flīen,fly
flighten,flee
flikering,flitting
fling,fling
flitteren,flit
flittering,flittering
flō,flo
florishing,blooming
floteren,flutter
floterer,wanderer
flother,flake
flǒunder,flounder
flǒur,flour
flǒuren,flour
flǒuring,blooming
floute,flute
flūid,fluid
flurted,flowered
flusshen,rush
fnasting,breathing
fnattednes,flatness
fodderen,feed
fokesail,sail
fōld,fold
fōling,foaling
fōliō,folio
folm,sole
fōltish,foolish
fōming,foaming
fǒnnedlī,wickedly
fǒnnedness,foolishness
font,font
forbēdāble,forbidden
forbīten,bite
forblissed,blessed
forbōden,forbid
forbōrn,born
forcasting,casting
forcelet,fortified
forceness,forcefulness
forcled,forked
forcǒveren,cover
forcracchen,scratch
forculen,blacken
forcursed,accursed
ford-lot,lot
fordrǒnken,drunk
foreiner,member
fōrer,farther
forest,forest
fōre-wit,foresight
fōre-wrīter,writer
forfameled,famished
forfrīed,fried
forfrighted,frightened
forgangen,forgo
forgāren,forfeit
forglopned,frightened
forgōing,shunning
forhīden,hide
forīdled,idle
forlōsen,lose
formaied,scared
formanging,bartering
forme,forme
formedness,rashness
formelten,melt
formest,first
fornicāciǒun,fornication
fornicārer,fornicator
fornicātrīce,fornication
forpampred,pampered
forpassing,surpassing
forpinched,encroached
forpīnen,torment
forrāked,tired
forrotedness,rottenness
forscatered,dispersed
forshāken,shaken
forshāpen,misshapen
forshrinken,shrivel
forstoppen,stop
forstraught,distraught
forstrīven,strive
forswērer,perjurer
forswet,sweat
forswollen,swollen
fortalice,fortress
fortatered,tatters
fortaxed,taxes
fortelet,fortress
forthrasten,shatter
fortifīing,providing
fortitūde,fortitude
fortūnāble,fortune
fortūne,fortune
forwandren,wandering
forwelked,shriveled
forwēring,wearing
forwirshipen,worship
forwǒunden,wound
foryēter,forgives
foryetnes,forgetting
foryēven,forgive
foryēvenaunce,forgiveness
foryēver,forgives
foryēving,pardoning
fostrild,foster
fostring,feeding
foun,fawn
fǒundātǒur,founder
fǒundring,stumbling
fǒuntain,font
four-fōld,four
fourhēde,fourfold
four-sǒm,foursome
foursquāredness,squareness
fourtīthe,fortieth
fou-thistel,thistle
fox,fox
foxen,fox
fractūre,fracture
fragment,fragment
fraiing,scaring
frailen,weaken
frairīe,friary
frakled,speckled
frakles,freckles
frakned,freckled
fraknes,freckles
francī,franks
franc-rīce,france
franken,france
frank-encens,frankincense
franking,fattening
fransh,french
fraterne,fraternal
fremishen,tremble
frendshiplēs,friendless
frenesīe,madness
freshnes,freshness
frightful,frightened
frīinge,frying
frīse,frisia
frisen,frizz
frivōllī,frivolously
frivōlǒus,frivolous
frogge,frog
from,fro
frosh,frog
frost,frost
frōtinge,rubbing
froude,frog
frǒuner,frowns
frōwardnesse,contrariness
fructifīen,fruit
fruit,fruit
fruiten,fruit
fruitestēre,fruit
fruitfulnes,fruitfulness
fruitlēs,unfruitful
frumpled,wrinkles
frush,clash
frushing,crunching
ful-fillen,fill
fullen,fill
fulster,fuller
fullyor,fully
fundamentāl,fundamental
furbishen,burnish
furbishing,polishing
furlenth,furlong
furlong,furlong
furneien,furnish
furnishen,furnish
furre,fur
furren,fur
furring,fur
furrūre,fur
furrūren,fur
further-ōver,furthermore
furthest,farthest
fusk,dusky
fūtūr,future
gabelette,gable
gāble,gable
gail,gale
gaillard,valiant
ǧaioler,jailer
gaitele,gael
gaithelaf,gaelic
galatike,galatian
galiot,galley
gali-pot,pot
gāli-whistle,whistle
gallelēs,gall
gallicān,gallic
galliene,gallic
galocher,maker
galoner,gallon
galopen,gallop
galǒun,gallon
galpen,open
galpinge,gaping
gamalian,chameleon
gāmer,game
garanten,warranty
gard-amǒur,cardamom
gard,care
garde,garde
gardin,garden
gargarīsen,gargle
gargarīsing,gargling
gargarisme,gargle
gargarismen,gargle
gargoile,gargoyle
garible,trill
gāring,making
garleker,garlic
garn,yarn
garnach,garment
garnement,garments
garnesheson,garrison
garring,chirping
garse,gash
garter,garter
garteren,garter
gaspinge,gaping
gasteninge,frightening
gāte,gate
gaunselī,sauce
gavel-ikinde,gavel
gavelok,javelin
geld,geld
gelding,gelding
ǧelen,jell
ǧelid,jelly
ǧēne,gene
ǧenealoǧiāl,genealogical
ǧenealoǧī,geneaology
ǧenosophis,gymnosophists
ǧentes,gentiles
ǧēometricāl,geometric
gerder,girdle
ǧermaines,tribes
ǧermināciǒun,germinating
ǧermininge,sprouting
gernet,garnet
gest,guest
ǧestāble,movable
ǧettinge,strutting
ǧibelet,giblet
gīden,guide
ǧigant,giant
gillinge,gutting
ǧilofre,clove
gilter,sinner
giltī,guilty
gilting,gilding
gimple,wimple
ǧinǧe-brēd,ginger
ǧinǧivere,ginger
ǧinglen,jingle
ǧinglinge,jingling
ginner,beginner
ginning,beginning
ginninglēs,beginning
girdeler,girdle
girdelestre,girdles
girding,girdle
gire,gore
girl,girl
girtring,entering
giterne,guitar
glāce,glace
glācing,glancing
gladhēde,gladness
gladiātōr,gladiator
gladsǒmnesse,gladness
glaive,lance
glandele,gland
glandelǒus,glands
glasful,glass
glasteren,glitter
glateren,glitter
glatissing,baying
glaunde,plant
gleim,slimy
glēming,shining
glen,glen
glēnen,glean
glēninge,gleaning
glent,glance
glenting,glimmering
gleu,glue
gleuer,glues
gleuing,glue
gliciride,licorice
glidder,slippery
glīden,glide
glīding,gliding
glifting,staring
glimishing,glimmering
glimsen,glisten
glisen,glitter
glishining,glimmering
glisninge,glistening
glitenen,shine
gliteren,glitter
globe,globe
glōria,gloria
glōrīe,glory
glōrificāte,glorified
glǒterǒus,gluttonous
glǒtonī,gluttony
glǒtonǒus,gluttonous
glouen,glow
glouming,frowning
glǒutinge,feasting
glūferī,gloves
glutenerīe,gluttony
glūternesse,gluttony
glutterī,gluttonous
gnachen,gnash
gnachinge,gnashing
gnappen,snap
gnāre,snare
gnastren,gnash
gnat,gnat
gnauen,gnaw
gnauer,gnaws
gneornung,mourning
gnit,nit
gobelet,goblet
gobeletful,goblet
goddes,goddess
goddich,godlike
god-doughter,goddaughter
godfriht,god
godet,goblet
godlī,god
godlīhēd,godhead
godnesse,god
godspellīc,gospels
gōer,goer
gog,god
gogeling,staggering
gog,bog
gōing,going
gōld,gold
gōld-bēter,goldsmith
gōlded,gilded
gōlder,gilds
gōld-finch,goldfinch
gōldī,gold
gōldlī,golden
gōld-smithrie,goldsmith
golen,gape
golving,grain
gǒmmī,gum
gǒmmǒus,gummy
gōn,gon
gonel,robe
gōnen,gape
gōning,gaping
gǒnner,gunner
gorǧed,gorged
gorǧen,gorge
gospel,gospel
gospellen,gospel
gouling,wailing
gǒurd,gourd
gǒutī,gout
gǒutīnes,gout
gǒutish,gout
gǒutǒus,gout
govern,governing
governement,govern
governesse,goddess
grāceful,grace
graffen,graft
graffere,grafts
graffing,grafting
graften,graft
grafting,grafting
graining,staining
gramaticallī,grammatical
grāming,grieving
grāpe,grape
grapenel,grappling
grapesinge,grips
gras,grass
grāsen,graze
gras-hoppere,grasshopper
grasī,grassy
graslēs,grassless
grassen,grass
grātere,grates
grāteresse,grater
grauntere,grants
graunt-sīre,grandfather
grāve,grave
gravel,gravel
graveled,gravel
graveler,gravel
graveling,gravel
grāver,engraver
grāving,carving
gredde,breiden
grēdere,crier
gredil,broil
grēding,wailing
greiling,grayling
greines,grayness
greithen,prepare
greithinge,preparing
greithlīnesse,readiness
grenching,gnashing
grenninge,grinning
grēt-uncle,uncle
greu,greek
grillen,grieve
grimlīnesse,fierceness
grīnding,grinding
grintinge,gnashing
grip,grasp
grīpinge,seizing
grippure,pasture
grisbitinge,gnashing
grīsfullī,dreadfully
grislīnesse,horribleness
grisping,gnashing
grist,grist
gristinge,gnashing
grithful,peaceful
grithfulnesse,peacefulness
grōcerīe,grocers
groinen,growl
groininge,grumbling
grollen,growl
grollinge,rumbling
grōnen,groan
grōpāble,palpable
grost,gristle
grǒundāble,provable
groupen,groove
groupinge,grooving
grǒusing,munching
grubling,digging
grucchen,grumble
grucchendelī,grudgingly
grucchinge,grumbling
grummen,grumble
grundelen,grunt
gruntare,grunter
gruntelen,grunt
grureful,frightful
grurefullīche,fearfully
guerdǒning,repaying
gulle,gull
gulpen,gulp
gulpinge,gulping
gurgulāciǒun,gurgling
gurguling,gurgling
gushelinge,gurgling
gushen,gush
gusset,gusset
gutta,gum
haberdash,haberdasher
haberdashrīe,haberdasher
habitāble,inhabitable
habituālī,habitual
hacchen,hatch
hacching,planking
hache,hatchet
hachet,hatchet
haddok,haddock
hafter,maker
hagge,hag
hail,hail
hailen,hail
hailing,hail
haine,hatred
hainǒus,hateful
hairer,hair
hāke,hake
hakking,carving
halchen,fasten
half-dēl,half
halfling,half
half-suster,sister
half-waxen,half
half-wei,halfway
hāling,pulling
haller,hall
halouing,shouting
halpeni-worth,halfpenny
halter,halter
haltren,halter
haltrere,halter
halving,half
hamel,hamlet
hamer-clōth,cloth
hameren,hammer
handled,handle
happenen,happens
haras,horses
hard,hard
harden,harden
hardenen,harden
hardening,hardening
hardhēd,hardness
harding,hardening
hardlaik,hardship
hardnes,hardness
hāre,hare
harling,dragging
harm,harm
harmen,harm
harmfullī,harmfully
harming,harm
harmingfullī,harmfully
harminglī,harmfully
harp,harp
harpen,harp
harper,harp
harping,harp
harping-īren,harpoon
harrī,horse
harringe,snarling
harwe,harrow
harwen,harrow
harwere,harrow
harwing,harrowing
hasardī,hazard
hāsel,hazel
haserding,hazard
hasp,hasp
haspen,fasten
hassasis,fanatic
hastelabor,astrolabe
hat,hat
hāte,hate
hāteful,hateful
hāten,hatred
hāter,hates
hāth,hath
hatten,hat
hauken,hawk
hauker,hawks
hauking,hunting
hauncher,haunches
haunt,haunt
hausing,hoisting
hauteinesse,haughtiness
heard-heortnesse,hardheartedness
heascen,hate
heaumer,helmet
hēdling,headlong
hēdlinges,headlong
heǧǧe,fence
heǧǧen,hedge
heǧǧer,hedge
heghen,hedge
heifer,heifer
heighe,high
heighnes,height
height,height
heiȝting,raising
heilsing,greeting
heir,heir
heironseu,heron
heirǒun,heron
hei-sugge,hedge
helle-bū,dweller
hellinge,pouring
helm,helm
helm,helm
helmen,helmeted
helmet,helmet
help,help
helpen,help
helpend,helper
helpestre,helper
helplī,helpful
helving,fitting
hem,hem
hēme,heme
hemming,netting
hemp,hemp
hempī,hemp
hen,hen
hent,hent
hēping,heaping
heraldīe,herald
herauden,praises
herben,herbs
hērēditāble,heritable
hērēditārī,hereditary
heremītāl,hermit
heretikel,heretical
hērīnesse,hairiness
heritāble,inheritable
heritāǧe,inheritance
heritāte,hereditary
heriten,inherit
heriter,heir
hermitāǧe,hermitage
hermītōrī,hermitage
hermofrodisia,hermaphroditic
hermofrodīte,hermaphrodite
hermofrodīto,hermaphroditic
hermofrose,hermaphrodite
hermofrosis,hermaphroditism
hernia,hernia
herniāl,hernia
herniǒus,hernia
herpēs,herpes
herpeste,herpes
herpestikes,herpes
hert,hart
herte,heart
herte-brine,heartburn
herten,hart
hert,fern
hervest,feast
hervesten,harvest
hētenes,hotness
hēthenhēde,heathen
hetien,hate
heumerīe,helmets
hīd,hid
hīded,hide
hīden,hide
hider-til,hitherto
hīding,hiding
hiēne,hyena
highthe,haste
hilere,tiler
hillī,hills
hillok,hill
hilt,hilt
hilted,hilt
hīnd,hind
hīndernesse,wickedness
hindren,injure
hindrer,hindrance
hineiinge,neighing
hipe,hips
hiped,hips
hirdler,hurdles
hirdnesse,herds
hīrer,hires
hires,hires
hirplen,hobble
hirst,hill
hisen,house
hispaigne,spain
hispannen,spain
hissen,hiss
hisser,hisses
historian,historian
historicalle,historical
historī,history
historier,historian
hitting,feeling
hīve,hive
hobīing,hobby
hogges-hēd,hogshead
hōlden,hold
hōlder,holder
hōlding,taking
hōlen,hole
hōlere,holes
hōlī,holy
holin,holly
holinen,holly
holke,hollow
homāǧe,homage
homāǧelīche,homage
hǒmeringe,muttering
homicīed,killed
hōm-stal,homestead
honestlī,honorably
hōngment,hanging
honorābled,honored
honorātlī,honorably
honorǒus,honorable
honǒuraunce,honoring
honǒurest,honored
honǒurlī,honorably
honǒurlīche,honorable
honǒurment,adornment
hōpe,hope
hōpen,hope
hōper,hopes
hoppen,hop
hopping,dancing
horned,horned
hornen,horn
horner,horn
hornī,horn
horning,horn
horrend,horrible
horrible,horrible
hors-bak,bak
horsing,horses
horslī,horse
hors-man,horseback
hors-minte,mint
hors-tail,tail
hōsen,hose
hossing,buzzing
hostelesse,hostess
houen,heed
hǒulinge,howling
hǒupere,hoopoe
hǒurlī,hour
hǒus,house
hǒusful,houseful
hǒus-hōlder,household
hǒusing,houses
hǒut,shout
hǒuting,shouting
hōve-dance,dance
hūing,hooting
hullen,hilly
hūmanlī,humanely
humble,humble
humblehēde,humility
humblement,humbly
humblen,humble
humblenes,humility
humbles,humility
humblinge,rumbling
humblishen,humble
hūmid,humid
humminge,humming
hūmorǒus,humors
hundfōld,hundred
hundredethe,hundredth
hundredfōld,hundredfold
hundredsǒm,hundred
hundseventī,seventy
hungarī,hungary
hunger,hunger
hungerlī,hungry
hunger-storven,hunger
hungren,hungry
hungrere,hungry
hungrī,hunger
hunte,hunter
hunten,hunt
hunter,hunter
hunteth,hunting
hunting,hunting
huntnoth,hunting
hūpling,heaping
hurling,rioting
hursting,frying
hurteful,harmful
hurten,hurt
iandwearden,answer
ibēthien,bathe
ībin,ibis
ibiring,tasting
ibrighten,bright
ibridde,birds
ibringen,bring
icallen,call
icamphered,camphor
icǒmen,come
icompǒuned,composed
īdelnes,useless
idempticāl,identical
idemptificāllī,identically
idrinken,sink
idroforbia,hydrophobia
idropaciens,idiopathic
idropesī,dropsy
idwellen,delay
ifallen,fall
ifildnesse,fullness
ifīnden,find
iflanked,flanks
ifreond,friends
ignoraunce,ignorance
ignōraunt,ignorance
ignōrauntlī,ignorantly
ihelpen,help
ihōlden,hold
ihorned,horned
ikissen,kiss
iknitten,knot
ilathier,inviter
il-cǒlorde,color
ilēve,leave
ilimed,limbed
ilimpen,happen
ilīthen,listen
ilīve,alive
illustres,illustrious
imāǧināble,imagined
imāned,mane
imanered,manners
iman-kin,mankind
imedemen,deign
imelten,melt
imērsed,praised
imetien,impose
iminent,imminent
iminten,intend
immarcessible,imperishable
immense,immense
immensūrāble,immense
immersed,embedded
immixten,unite
immūne,immune
impaiāble,implacable
imparfitnesse,sinfulness
impediment,impediment
impenetrāble,penetrate
impenitent,unrepentant
imperscrūtāble,inscrutable
implanted,implanted
implicāciǒun,complication
implītāble,impossible
impollūte,unpolluted
importāble,intolerable
impōsen,impose
impotent,impotent
impǒunden,impound
impregnen,pregnant
imprenāble,impregnable
impresselī,implicitly
impressen,imprint
improberāble,irreproachable
improporciǒun,disproportion
imprūdence,imprudent
inanimāte,inanimate
inbringen,bring
incertain,uncertain
incessāble,unceasing
incessaunte,unceasing
incessauntlī,unceasingly
incestǒur,incest
inchaunǧeāble,unchangeable
inch,inch
inclīnāble,amenable
inclūden,enclose
incoined,coin
incǒmere,enters
incǒming,entering
incommūtāble,immutable
incomparāble,comparison
incomparāblī,incomparably
incomplētelī,completely
incongrue,incorrect
incongruent,discordant
inconsōlāblī,inconsolably
incontinencī,incontinence
incorpen,incorporate
incorporāt,incorporeal
incorporeālle,incorporeal
incorrect,corrected
incǒvenāble,unsuitable
incustumed,unaccustomed
incuttinge,cutting
indēpartāble,indivisible
indēpartāblī,inseparably
indēparted,inseparable
indētermināblī,indefinitely
indīǧestiǒun,digestion
indisciplīnāte,undisciplined
indisciplīned,undisciplined
indiscussed,undiscussed
indispōsed,unprepared
indistinctlī,indiscriminately
indīviduāl,indivisible
indois,india
indomāble,untameable
indǒubted,doubted
indubitāble,undoubted
ineffectūalle,effect
inēnarrāble,inexpressible
inentringe,entering
ineschūāble,unavoidable
inexcōǧitāble,inconceivable
inexplicāble,inexpressible
inexpungnāble,impregnable
inextermināblīe,interminably
inextinguible,unquenchable
infailāble,liable
infallible,incapable
infantil,infancy
infecten,infect
infecting,infected
infestāciǒun,infestation
infested,fastened
infidele,infidel
infinitāciǒun,indefinite
infistulāte,fistula
inflammāble,inflammation
inflammāciǒun,inflammation
inflouing,influx
influen,influence
influence,influence
infolwen,follow
infortūnāt,misfortune
infortūne,misfortune
inǧeniǒuslī,ingenuity
ingraffen,graft
ingrāved,engraved
ingresse,entrance
inhabitāble,uninhabitable
inhabitantes,inhabitants
inhabitāte,inhabited
inhēritāǧen,inherit
inhibiciǒun,prohibition
in-hōlder,innkeeper
inhonestelīche,indecently
inhumain,inhuman
inhurte,unhurt
inimitāble,incomparable
iniwharven,inwards
injuste,unjust
injustīce,injustice
injustlī,unjustly
inked,ink
inker,inker
inlēful,unlawful
inlīke,alike
inlōnd,land
inlouen,inflame
innancund,inward
inner,inner
innerere,inwards
innerest,deepest
innerlī,inward
innermōr,inner
innermōst,innermost
innest,innermost
innocence,innocence
innocentrīe,innocence
innocentshipe,innocence
innoiandnes,innocence
innǒmbred,unnumbered
innomināble,unmentionable
innumered,innumerable
inobēdience,disobedience
inobēdiencī,disobedience
inobēdient,disobedient
inobēdientlīe,disobediently
inobeishaunce,disobedience
inobeishaunt,disobedient
inoppīnāble,inconceivable
inputten,put
inputtinge,something
inrēding,reading
inrichelī,richly
inrīden,ride
inrīsing,arising
insāciāble,incapable
insaturāble,incapable
inscrīven,engrave
inscrūtāble,inscrutable
insendinge,sending
insērchāble,inscrutable
inslingen,siege
insnarled,ensnared
inspermatik,sperm
inspīraunce,inspiration
inspīrǒur,inspirer
instāblenes,instability
insterten,enter
instrucciǒun,instructing
instructen,instruct
instructǒur,instructor
instrūmentlī,instrument
insulān,island
insulāne,islander
insuperāble,invincible
insuspeciǒun,suspicion
intachen,fasten
intellectīve,intellectual
intemperaunce,immoderate
intenslī,violently
intent,intent
intentiāl,content
intercīse,intervals
interest,interest
interlīnen,insertions
interlīnieng,insertions
interlōge,interlude
intermediāte,intervening
intermināte,eternal
intermissiǒun,interruption
internāl,inward
interpolāte,intermittent
interposiciǒun,intercession
interpretāciǒun,interpretation
interpreten,interpreter
interpreting,interpret
interrupten,interfere
intersecāciǒun,intersection
interspāce,interval
interstice,interval
intervenciǒun,intercession
intestāte,intestate
inthoroulī,thoroughly
intollerāble,unbearable
introite,entrance
intrūden,intrude
intūrnement,tournament
inunderstōndāble,incomprehensible
invariāble,unvarying
inversed,turned
investīgāciǒun,investigation
investitūre,investiture
inviolāble,violated
invītāciǒun,invitation
involuntārī,involuntary
involven,envelop
inwōven,interwoven
inwrite,inscribed
ioxned,oxen
ioyde,joy
ipassen,pass
ipocrisis,hypocrisy
ipocrite,hypocrite
ipulverīzāte,pulverized
īren,iron
īrenī,iron
irīflen,rifle
īris,iris
īrish,irish
īrisherīe,irish
īrish-man,irish
īr-lōnd,ireland
irrecoverāble,irreparable
irremediābilī,irreparably
irremediāble,remedied
irreparāblī,irrevocably
irresonāble,irrational
irreverent,reverence
irrevocāble,irreversible
irsunge,ire
iruthe,clothe
iscorpid,dissolved
isemblen,assemble
ishinge,going
ishot,shot
isīen,ben
īs-ikle,icicle
isitten,sit
īsophagus,esophagus
ispillen,kill
israēl,israel
israēlīte,israel
israēlītish,israel
isterred,stars
istōnden,standing
istrenǧen,strengthen
isulphured,sulfur
isustre,sisters
itailed,tail
itāken,take
italian,italian
italies,italians
ītalike,italian
itellen,tell
itenthed,tithes
iterāble,capable
ithidden,strike
ithought,thought
ithurst,thirst
itīde,time
itrehtnigen,treat
itreowe,true
itrusten,trust
itwin,twin
īve,ive
ivel,evil
ivel-willed,wicked
ivīned,veined
īvoired,ivory
īvorī,ivory
īvorien,ivory
iwakien,awake
iwarmen,warm
iwinched,hoisted
iwitted,wits
iworthīen,worship
iyel,yell
jaket,jacket
jakked,armed
jambison,gambeson
jāme,james
janglere,talker
janok,bannock
jardin,jordan
jasp,jasper
jaspre,jasper
jaumber,armor
javelīn,javelin
javelot,javelin
jelīf,jelly
jelǒus,jealous
jelǒusī,jealousy
jelǒusnes,jealousy
jemeus,jewels
jerarchīing,hierarchical
jeuel,jewels
jocaunt,joyful
jocǒund,joyful
joiinglī,willingly
joināble,capable
joinǒur,joiner
joint,joint
joint,joint
jointed,joints
jointinge,joint
jointǒur,joiner
jōte,jot
jǒuncinge,jolting
jǒurneiing,journeying
jubarb,rhubarb
jūbiling,jubilation
jūdas,judas
jūdeu,jew
jūdeuish,jewish
jūdiciābles,judicial
jūdiciāl,judicial
jūdiciāllī,judicial
jūdiciārī,judicial
juil,july
juin,june
junctlī,jointly
jūniper,juniper
jūniperin,juniper
jūpiter,jupiter
justiciāble,justiciable
justificāble,justifiable
justīlī,justly
karette,carrot
kenin,grain
kenners,teachers
kenters,kent
kentish,kent
kentwærre,kent
kerche,kerchief
ketel,kettle
ketling,kitten
keutinge,yelping
keverel,vessel
kiken,kick
killer,kills
killing,slaying
kilneful,kiln
kin,kin
kīnd,kind
kīnden,kindly
kīndeshipe,kindness
kineerd,kingdom
kinelīch,king
kinelōnd,kingdom
kinelōrd,lord
kinering,ring
king,king
kinges-fisher,kingfisher
kinghōd,kingship
kinglī,king
kingrēde,kingdom
king-rīche,king
kingshipe,kingdom
kinhēde,kinship
kinned,kinsmen
kinnere,kinsmen
kinnī,kinlin
kippinge,seizing
kiren,turn
kissen,kiss
kissing,kissing
kīte,kite
kitellen,tickle
kitellinge,tickling
knaggen,fasten
knēding,kneading
knette,knot
kneuen,kneel
kneuinge,penance
knīf,knife
knighten,knight
knilling,tolling
knitter,knitter
knitting,fastening
knivet,knife
knobbed,gnarled
knobben,knots
knokking,beating
knolling,tolling
knorned,gnarled
knorred,gnarled
knotten,nodes
knottī,knotted
knouāble,know
knouer,knows
krīve,grave
laberinthe,labyrinth
lacca,lac
lacedemoines,lacedemonians
lācen,loosen
lad,load
ladder,ladder
lādel,ladle
lādelful,ladle
lāden,loaded
laghther,lathe
laier,ewer
lai-man,layman
lakking,lack
lam,lam
lambkin,lamb
lampades,hyades
lancelaine,plantain
lānd-ōre,landed
lāne,lane
langāǧe,language
lange,tongue
langǒuringe,suffering
langrāvie,landgrave
languste,locust
lantern,lantern
lanterner,lantern
lapis,lapis
lapping,wrapping
lap-wink,lap
larcenī,larceny
lardon,bacon
lark,lark
larum-belle,bell
lascīvic,lascivious
lāsen,laces
lash,lash
laske,loose
lasken,weaken
last,last
lasulus,lapis
lāte,late
lātemest,highest
lāter,later
lātest,last
latisen,lattice
lātnesse,slowness
latonere,latin
latteremōre,later
latther,maker
latthing,laths
lauāble,lawful
lauefullī,legally
laughen,laugh
laughing,laughing
laughinglī,laughingly
laughter,laughter
lauier,lawyer
lauistere,lawyer
laumbre,amber
laumpas-duk,laumpas
laump,lamp
laumprei,lamprey
laumprǒun,lamprey
launce-lai,launcegai
launching,launching
launcinge,hurling
laund,alaunt
launderer,laundress
launstere,laundress
laur,laurel
laurel,laurel
laurer,laurel
laurī,laurel
lavauslī,lavishly
lavender,laundress
lavendul,lavender
laver-cok,lark
laxen,loosen
leced,leash
lecherǒusnes,lasciviousness
lechǒurere,seducer
lēffullī,lawfully
leg,leg
legged,legs
leǧǧed,ledges
legūmines,legumes
legūminǒus,legumes
leiȝster,liar
leiserful,careful
leiting,lightning
lekere,lecher
lēking,leaking
lēnen,lean
lēner,lender
length,length
lengthen,lengthen
lengthenen,lengthen
lēning,leaning
lenticle,lentil
leonīn,leo
leopard,leopard
leothelīche,loosely
lēping,jumping
leprǒus,leper
leprǒussing,leprosy
lērning,learning
lessenesse,lesser
lesser,less
lessǒur,lease
lēth,lathe
lēthen,loosen
lether,leather
lethered,leather
lēthing,healing
lettre,letters
leu-warm,lukewarm
levāble,leviable
levāciǒun,elevation
levainen,leaven
level,level
lēvening,lightning
lībāciǒun,libation
libbing,gelding
liberāciǒun,deliberation
lid,lid
liden,lid
līer,liar
lieu-tenauncīe,lieutenant
lieu-tenauntship,lieutenant
līf-tīme,life
lifting,lifting
liftinges,liftes
lifting-tonges,tongs
lift-sīdeward,leftward
liftward,leftwards
light,light
lighten,lightning
light-herted,hearted
lightlīnes,lightly
lightnes,light
lightning,lightning
lightsǒm,light
līk,lik
līken,liken
likken,lick
likkere,licks
likking,licking
lik-laking,clashing
līklī,likely
lik-morter,mortar
līknessen,liken
likornesse,fondness
lilīāl,lily
lilīe,lily
lilīe-flǒur,fleur
līm,lim
limbō,limbo
limbus,limbo
limed,limbed
limmēl,limb
limpen,happen
lincoln,lincoln
līnen,lined
linet,linen
lineur,linen
ling,ling
linge,linen
linguāl,tongue
līning,lining
linke,link
lin-pin,linchpin
lintel,lintel
lionne,lioness
līonseu,lion
lip,lip
liquāble,liquefied
liquāmen,liquor
liquefacte,liquefied
liquid,liquid
liquidī,liquid
līre,lire
lisning,easing
lisper,lisps
lisping,lisp
listenen,listen
listing,listen
listore,lister
litarǧik,lethargy
litarǧirī,litharge
literāl,letters
literen,litter
litering,litter
lithernes,wickedness
litterāte,literate
līvelīhēd,livelihood
liven,live
līven,life
liver,liver
līves,alive
lobre,lout
lōcuste,locusts
lōding,loading
loft,loft
loǧicāl,logical
loǧicien,logician
loǧik,logic
loǧike,logic
loine,loin
loitring,idling
lok-dōre,louse
lollardnes,lollardie
lollerīe,lollardie
loltren,loll
lombardish,lombardy
lǒndenish,london
lǒndenois,londoner
lōnding,landing
lǒndon,london
lǒndoner,london
longaine,latrine
lǒnge,lungs
lōninge,lending
lonke,flank
lōp,lop
lōpinge,leaping
lōrdes-dōm,lordship
lorei,puree
lōs,los
lōsing,losing
lōthful,hateful
lōthlīnesse,ugliness
lōtinge,hiding
lǒud,loud
lǒude,loud
lǒudlī,loudly
lǒudnesse,loudness
louen,lower
louis,louis
lounes,lowness
louring,line
lǒuting,bowing
lǒve,love
lǒven,love
lǒvnesse,love
lǒver,loves
lǒveship,love
lǒvingful,loving
lǒvinglī,lovingly
lūbrifīen,lubricate
lūcre,lucre
lūder,laver
lufetāle,lovable
lugging,tugging
lullai,lullabies
lulling,lullaby
lumped,curled
lumpred,heaped
lupīne,lupine
lūren,lure
lurkinge,hiding
lusten,lust
lūter,lute
māce,mace
macedone,stone
maderinge,dyeing
mæsten,mast
mafflard,babbler
mafflen,babble
maǧestful,majestic
maǧistrāt,magistrate
magma,magma
magnāt,magnate
magnificat,canticle
mai,mai
maid,maid
maiden,maiden
mailet,mallet
maillen,mail
maine,maine
main-fer,gauntlet
main-flǒur,flour
maintement,maintenaunce
maintenue,maintenaunce
maisting,fattening
majorane,marjoram
māker,maker
māle,male
mal,mal
malefactǒur,malefactor
māleful,bagful
malevolence,malice
maller,maul
malliāble,malleable
malt,malt
malten,malt
maltere,malt
malteres,malt
maltester,malt
malting,malt
malvesī,malvasia
malwe,mallow
mamelen,babble
mameren,mumble
mamering,mumbling
mamlere,babbler
man,man
mandible,mandible
māne,mane
manfulnes,manliness
maniclen,handcuff
manifest,manifest
manī-ful,ful
manipulum,handful
manjeuenesse,manjeue
manke,pence
mankidhēd,mangled
man-queller,murderer
mantel,mantel
man-þwærnesse,meekness
māpel,maple
māpelin,maple
