a-bac,backwards
historien,recount
historier,historian
hit,purely_instinctual
hīth,surnames
hīthnesse,honorific
hit-self,obj
hitten,strike
hitte-wīte,paid
hitting,feeling
hīve,hive
hīven,bees
hīwscipe,household
hiwung,depicting
hlīsa,fame
hlīsful,reputation
hloth,band
hob,verb_noun
hobelen,wander
hobeler,horseman
hoberd,rascal
hobī,species
hobīing,hobby
hobin,horseman
hoche-pot,Adjust_seasonings
hōd,diocesan_seminaries
hodelnesse,secrecy
hōden,catholics
hoderen,cuddle
hodimok,secrecy
hōdinge,ordination
hōge,mound
hogeled,dressed
hogeler,laborers
hogelēs,anxiety
hoggaster,boar
hog,swine
hogge,ship
hoǧǧe,name
hogger,herdsman
hogges-hēd,hogshead
hogget,year
hoggish,gluttonous
hoghful,anxious
hoglin,endearment
hoi,refrain
hoi,passengers
hoist,wafer
hoit,stick
hokelen,cuddle
hoker-moker,hoard
hok,mallow
hokkinge,exact
holand,cloth
holander,inhabitant
holard,abuse
hold,names
hōld,grasp
hōlden,hold
hōlder,holder
hōlding,taking
hōldinglīche,tightly
holdscipe,loyalty
holdur,error
hol,papery_skin
hōl,silly_Billen
holen,husk
hōlen,hole
hōlere,holes
hōl-fāre,tax
hōlful,spiritually
hōlfullīch,beneficially
holgh,spaghetti_noodle
hōlhēd,completeness
hōlī,holy
hōlīhēd,holiness
hōlīlī,piously
holin,holly
holinen,holly
hōlīnes,sacredness
hōling,hole
hōlīshipe,sanctity
holk,cavity
holke,hollow
holken,excavate
hol-lēk,scallion
hōllī,safe
hōlm,holly
hōlnes,By_Elise_Viebeck
holocaust,burnt
holouen,shout
holouȝish,cavities
hōl-sāke,sue
hōl-sāle,selling
hōlshipe,chastity
hōlsǒm,beneficial
hōlsǒmlī,Adjust_seasonings
hōlsǒmnes,quality
holt,copse
hōl-vast,pious
holwe,cavity
holwen,concave
holwenes,cylindrical
holwī,porous
hōm,house
homāǧe,homage
homāǧelīche,homage
homāǧinge,respect
hǒmber,river
hōm-cǒme,homecoming
hōm-cǒming,arrival
hǒmeringe,muttering
homicīde,murder
homicīdī,murder
homicīed,killed
homināciǒun,offensive
hōmlī,household
hōmlīhēd,familiarity
hōmlīlī,domesticated
hōmlīnes,respectfulness
homoǧenēlī,bodily
homoplate,shoulders
homple,fabric
hōm-stal,homestead
hondler,retractor
hōne,marble_floorings
honest,honorable
honesten,dignify
honestlī,honorably
honestnes,distinction
hōngel,hall
hōngels,knife
hōngment,hanging
hōngre,wooded
hǒnī,honey
hǒnī-cōmb,Gently_massage
hǒnīed,delicious
hǒnīful,honey
hǒnīlī,fig
hǒnīlī-līke,sweetly
hǒnishen,insult
hǒnī-sǒuke,honeysuckles
hǒnī-sǒukel,clover
honorābled,honored
honorant,respectful
honorātlī,honorably
honorǒus,honorable
honǒur,reverence
honǒurāble,reverence
honǒurāblī,reverence
honǒuraunce,honoring
honǒuren,venerate
honǒurest,honored
honǒuring,vent_Gespass
honǒuringlī,worshiping
honǒurlī,honorably
honǒurlīche,honorable
honǒurment,adornment
honurer,worshiper
honusteful,fitting
hōpe,hope
hōp,marshy
hōpeful,informed
hōpen,hope
hōper,hopes
hōping,belief
hōpinglī,imagination
hoppe,wood
hoppen,hop
hopper,Slice_thinly
hoppestre,dancer
hopping,dancing
hōr,mushy_broccoli
hōr-cop,bastard
hōrd,palisade
hordestre,convent
hōr,sin
hōr,milky_sap
hōren,gray
horete,piece
hōrī,filthy
horien,impel
hōrīnesse,corruption
hōrīnes,beard
hōring,whitening
hōrish,somewhat
horn,antler
horn-bēm,tree
horned,horned
hornen,horn
horner,horn
hōrnes,whiteness
hornet,beetle
horn-faste,security
hornī,horn
horning,horn
horn-pīpe,instrument
horn-pīper,surname
horren,tremble
horrend,horrible
horrible,horrible
horriblenes,hideousness
horriblī,hideously
horrǒur,dread
hors,male
hors-bak,bak
hors-cōmb,scraper
hors-elne,elecampane
horsen,equine
hors-hēr,hair
horsing,horses
horsinge,din
horslī,horse
hors-man,horseback
hors-minte,mint
hors-tail,tail
horten,fruit
horuth,defilement
horwald-penī,rent
hōr-wort,cudweed
hōs,hoarseness
hōse,scratchy_wool
hōsen,hose
hōshēd,hoarseness
hōsier,seller
hōsinge,footgear
hōslī,faintly
hōsnes,hoarseness
hosp,blasphemy
hospitāl,care
hospitālārīe,knight
hossing,buzzing
hōst,army
hōste,surface
hostelen,lodging
hostelesse,hostess
hostelrīe,inn
hōsten,lodging
hoster,innkeeper
hōstes,mistress
hostiārī,doorkeeper
hostilāǧe,provision
hostilment,furniture
hostrī,inn
hōt,promise
hotchen,attack
hōt,passionately
hōtelī,fervor
hōten,name
hōtere,steward
hōtestre,mistress
hōt-herte,anger
hōting,promise
hōtinge,inflammation
hōtnes,heat
hotte,Wooden_pallets
hǒu,attacks_Akawu
hou,cries
hǒu-as-ever,Iā
hou,distress
houe,pickax
houen,heed
hou,midwife
hǒu-gāt,means
hǒu-gātes,means
hough,mountain
houghen,hamstring
hough-sineuen,hamstring
hǒulen,howl
hǒulinge,howling
hǒulot,owl
hǒund,dog
hǒunden,canine
hǒund,nightshade
hǒund,fish
hǒunde-stōn,millstone
hǒundes-tǒnge,pokeweed
hǒunding,dog
hǒundish,dog
hǒundlī,dog
hǒun,masthead
hǒune,servant
hǒuns-cul,armor
hǒuntāǧe,disgrace
hǒup,whoop
hǒupere,hoopoe
hǒure,canonical
hǒured,moment
hǒurlī,hour
hǒurshen,loud
hǒus,house
hǒus-bondlī,thrifty
hǒus-carl,expert_Dickie_Arbiter
hǒus,cloth
hǒusel,eucharist
hǒuselen,communion
hǒuseling,communion
hǒusen,shelter
hǒusere,builder
hǒusful,houseful
hǒushen,ridicule
hǒus-hōld,very_pampered_McElhatton
hǒus-hōlder,household
hǒus-hōlding,hospitality
hǒusing,houses
hǒuslēs,homeless
hǒu-sō,hou
hǒu-sǒm,Iā
hǒus-sēm,nail
hǒut,shout
hǒuth-sīthe,journey
hǒuting,shouting
hǒuve,coif
hōve-dance,dance
hōvel,corncrib
hōver,hump
howhel,bend
hradnysse,quickness
hræcen,cough
hūbert,magpie
huche,watertight_container
huckel,cloak
hucking,bargaining
hud,husk
hudela,medicinal
huf,cry
hūǧe,numerous
hūǧelī,loudly
hūǧenes,largeness
hūǧeǒus,noise
hūǧeǒuslī,ardently
hūǧī,large
hūing,hooting
hukken,sell
hukker,peddler
hukkerīe,trade
huk-muck,impurities
hukster,peddler
huksterīe,peddling
hūlīnes,tardiness
hulk,hiding
hulken,hide
hullen,hilly
hulsen,harvest
hulster,place
hulstred,concealed
hulver,surname
hum,answer
hūmain,mankind
hūmanlī,humanely
humble,humble
humblehēde,humility
humblement,humbly
humblen,humble
humblenes,humility
humbles,humility
humblī,politely
humblinge,rumbling
humblishen,humble
hūme,soil
hūmectāciǒun,tissues
hūmectāte,moistened
hūmecten,moisture
hūmectōrīe,moisture
hūmid,humid
hummen,murmur
humminge,humming
hūmorǒus,humors
hūmǒur,moisture
hunchen,thrust
hund,hundred
hund-,numerals
hundfōld,hundred
hūnd-lim,servile
hundred,division
hundreder,officer
hundredethe,hundredth
hundredfōld,hundredfold
hundred-man,officer
hundred-penī,wages_garnisheed
hundredsǒm,hundred
hundres-laund,BY_ANDY_THOMPSON
hundseofenteoða,seventieth
hundseventī,seventy
hungarī,hungary
hunger,hunger
hungerlī,hungry
hunger-storven,hunger
hungren,hungry
hungrere,hungry
hungrī,hunger
hungrīlī,greedily
hunte,hunter
hunten,hunt
huntene-silver,minimums_FDIC_insured
hunter,hunter
hunteres,goddess
hunteth,hunting
hunting,hunting
huntnoth,hunting
hūpe,heap
hūpling,heaping
hurdes,buttocks
hurdis,palisade
hurdisen,barricade
hurdiser,wooden
hurdising,palisade
hurd-reue,genus
hūre,cap
hūrer,sells
hurkelen,cower
hurl,whirlpool
hurle-bat,surnames
hurled,bristles
hurlen,rush
hurler,quarrelsome
hurlewain,mischievous
hurling,rioting
hurre,toy
hurren,humming
hurrok,stern
hursting,frying
hurt,injury
hurteful,harmful
hurtelen,collide
hurteling,knocking
hurten,hurt
hurter,injures
hurtil-berī,bush
hurting,injury
hurtlēs,unhurt
hurtǒur,plate
hūse,sturgeon
hūsing,husk
husk,dogfish
husk,unhulled
huspilen,plunder
hūsshipe,household
hust,quiet
hustlinge,commotion
hux,insulting
huxlīce,derisive
hwiþa,breeze
hyrwnesse,blasphemy
iæðelien,ennoble
iāhnien,give
iandetten,confess
iandwearden,answer
ianȝsumien,vex
iāren,mercy
iauhten,estimate
iban,ordinance
ibanered,garlanded
ibeat,clashing
ibedde,spouse
ibēd,prayer
ibeien,bend
ibeot,noise
ibēre,behavior
ibēren,bring
ibēthien,bathe
ibidden,pray
ibīden,await
ibien,pay
ibīgle,submissive
ībin,ibis
ibīnden,tie
ibīrd,nature
ibiren,appropriate
ibiring,tasting
ibīten,eat
iblessen,god
iblissien,rejoice
ibod,commandment
ibōrenesse,birth
iborȝinge,redemption
iborwed,redeemed
ibǒued,boughs
ibǒuen,alter
ibrēden,overspread
ibreiden,foolish
ibrighten,bright
ibridde,birds
ibrightlīch,understandable
ibringen,bring
ibrīten,mash
ibrūcen,possess
ibrusted,embroidered
ibulumus,gum
iburȝen,saved
iburst,enraged
ibūten,around
ibuxǒm,submissive
ibuxǒmnesse,obedience
icacchen,capture
icallen,call
icamphered,camphor
icasten,utter
icausen,produce
icāved,excavated
icchen,move
icching,removal
icēsen,cease
ich,pronoun
īche,frog
icheien,summon
ichēken,control
icherren,phrase
icheu,gnawing
ich-self,nom
icīȝen,occur
iclēmen,caulk
iclensen,purify
iclensing,purification
iclēpen,summon
iclōva,copy
icōlen,concealed
icǒmen,come
icomp,fight
icompǒuned,composed
īconomī,finances
īconomī,affairs
īconomique,household
icor,sores
icǒuded,lamprey
icǒveren,win
idachite,stone
idælen,separated
idafenen,befit
idafenlīch,appropriate
idea,Ben_Hur_proportions
ideāl,divine
īdel,vain
īdelen,worthless
īdeles,idleness
īdel-hōnded,empty
īdelleic,idleness
īdellī,without
īdellīc,vain
īdel-man,feudal
īdelnes,useless
īdelship,folly
īdem,mentioned
idempticāl,identical
idemptificāllī,identically
iderus,fluid
idighten,build
idīȝen,survive
idīȝlian,conceal
idirstlichen,dare
idōl,alms
idǒue,profitable
idǒuten,worried
idre,snake
idriades,stone
idrīen,cure
idrinken,sink
idroforbia,hydrophobia
idroforbicus,hydrophobia
idromancī,divination
idromauncer,practice
idromel,honey
idrōp,dropsy
idropacia,cause
idropaciens,idiopathic
idropesī,dropsy
idrosacre,syrup
idrust,covered
īdus,UK_Today_Editoweb
idwellen,delay
idwīld,error
idwimor,illusion
idwīnen,fade
idwol,error
iēchen,increase
ied-hwurven,recover
ied-lēchen,repeat
ied-neuen,rebuild
iēknen,amount
iēled,carved
ielnen,pull
iere,ivy
iēten,eat
ifaie,certainly
ifainen,rejoice
ifallen,fall
ifāren,depart
ifasten,confirm
ifastnen,fix
ifea,bliss
ifellīc,miserable
ifeond,enemies
ifeormen,entertain
ifermien,provide
ifiht,battle
ifildnesse,fullness
ifīlen,defile
ifillednesse,fulfillment
ifillen,fulfill
ifilsta,supporter
ifīnden,find
iflæsc-homod,incarnated
iflanked,flanks
iflīt,contention
iflītful,contentious
ifō,enemy
ifolke,army
ifōnden,try
ifōre,presence
iforght,frightened
ifremmen,commit
ifremunge,effect
ifreond,friends
ifūsen,speedily
igada,comrade
igaderednesse,matter
igaderen,assemble
igaderunge,meeting
igain,back
igaines,accuse
igain-saue,contradiction
igast,spirit
igastlīche,fearfully
iǧemmed,budded
igenǧ,followers
iǧinne,trickery
iǧinned,constructed
iginnen,infinitive
igladen,rejoice
iglenǧen,adorn
iglīden,slip
ignīden,rub
ignis,bacterium_Bacillus_anthracis
ignīte,temperature
ignōble,birth
ignōblenes,meanness
ignōminiǒus,disgraceful
ignoraunce,ignorance
ignōraunt,ignorance
ignōrauntlī,ignorantly
igōn,dwell
igrēde,crying
igrēmen,offend
igrīnd,grinding
igrīpen,snatch
igrithien,peace
igrure,terror
ihālen,cure
ihalwen,sanctify
iharmen,injure
ihatheren,restrain
ihāven,retain
ihc,monogram
ihealdenesse,observance
ihein,away
ihēlen,cure
ihelpen,help
ihenten,take
ihēred,hair
ihērsumnesse,obedience
ihēse,command
ihīren,pay
ihitten,blow
ihīw-cyðlīcod,familiar
ihīwen,transform
ihīwlæht,colored
ihōld,abode
ihōlden,hold
ihōl,chaste
iholes,covered
ihōllīche,entirely
ihōlnesse,sexual
ihōlshipe,chastity
ihorned,horned
ihōten,specific
ihōt-herten,angry
ihǒu,moreover
ihūdeket,covered
ihūred,cap
ihwerven,changed
iinnien,restore
iivelen,sick
ikel,icicle
ikennen,know
ikimet,dumbfounded
ikīnde,nature
ikīndelīch,natural
ikīndelīche,accordance
ikinned,connected
ikippen,receive
ikissen,kiss
ikīthen,reveal
ikīthnesse,dispensation
iknitten,knot
iknouen,identify
iknoulēchen,confess
iknuken,pulverize
ilacchen,seize
ilasten,remain
ilātet,mannered
ilathen,summon
ilathier,inviter
ilathung,assembly
il-cǒlorde,color
ildinge,delay
īle,lake
ilēchnen,heal
ilēchnunge,healing
ilēden,take
ilēfful,faith
ilēfleaste,unbelief
ileien,put
ileired,rimmed
ilenǧen,reach
ileoten,shall
ileove,lovers
ilēr,empty
ilēren,teach
īles-pīl,european
ilesten,heed
ilet,hindrance
ilēte,outward
ilettred,educated
ileued,laity
ilēve,leave
ilēven,leave
īlex,oak
il-fāringlīe,unseemly
il-heued,pale
il-hōpen,mistrust
ilīch,like
ilīc-hamen,clothe
ilīche,mate
ilies,bone
ilīf-festen,endow
īlik,intestinal
ilīke-dēl,similarly
ilīken,please
ilīke-wīse,manner
ilīknesse,resemblance
ilimed,limbed
ilimp,opportunity
ilimpen,happen
ilinde,fat
iliǒun,intestine
ilīthe,pleasant
ilīthegen,soothe
ilīthen,listen
ilīve,alive
il,evil
il,evil
ille-imanered,rude
illen,malice
illeoqs,hunt
illī,maliciously
illībāte,unimpaired
illīciǒun,violation
illing,evil
illiterāte,uneducated
illouh,softly
illūden,deceive
illūmien,luster
illūmināciǒun,enlightenment
illūmināten,light
illūminātīve,brightening
illūminen,light
illūminere,spiritual
illūmininge,enlightening
illūren,entice
illūsiǒun,scorn
illūsǒur,deceiver
illustrāciǒun,enlightenment
illustres,illustrious
ilōpen,jump
ilǒuken,heal
il-tǒrnen,wicked
il-tunged,talkative
il-willande,enemies
il-willandnes,malice
il-willed,malicious
il-willer,malice
imæhte,power
imænelīc,common
imænelīce,commonly
imāǧe,statue
imāǧen,formulate
imāǧenement,guile
imāǧǒure,sculptor
imāǧerī,carvings
imāǧināble,imagined
imāǧinen,conceive
imāǧines,statues
imāǧining,imagination
imāǧininglī,fancifully
imāǧinǒur,carver
imaimen,injure
imained,strong
imāke,companion
imāken,build
imāking,origin
imāned,mane
imanered,manners
imanifōlden,multiply
iman-kin,mankind
imātūrāte,matured
imbeuen,Rinse_thoroughly
imbrāce,shelter
imbre-dai,Berretta_leaned_forward
ime,vessel
imedemen,deign
imele,writing
imēlen,utter
imelten,melt
imembred,rusted_iron
imēne,fellowship
imēnen,signify
imenǧen,mixture
imēnnesse,communion
imēre,boundaries
imerren,disfigure
imērsed,praised
imet,measuring
imēte,suitable
imēten,measure
imēthe,temperance
imēthful,moderate
imetien,impose
imetlīche,suitable
imetnesse,temperance
imetodlīche,inevitably
imiȝen,urinate
imilcen,mercy
imīnde,memory
imīndelīche,thoughtfully
imīnden,bear
imīndī,phrase
iminent,imminent
imingen,remind
iminnen,relate
iminten,intend
imis,error
imissen,lose
imitāciǒun,emulation
imitāǧe,statue
immaculāt,undefiled
immarcessible,imperishable
immateriāl,spiritual
immateriāllī,condition
immediāciǒun,proximity
immēdiāt,cause
immediāt,nothing
immēdiātlī,directly
immēdiātrīce,mediates
immemorāt,ignorant
immense,immense
immensūrāble,immense
immersed,embedded
immess,variously
immesūrāble,infinite
immesūrāblī,inordinately
immissōrīe,bladder
immitted,placed
immixten,unite
immōbīl,steadfast
immoderāt,extreme
immoderātlī,excessively
immoderaunce,excessiveness
immonesis,actions
immorteisen,alienate
immorteising,alienation
immōten,pour
immūne,immune
immūtāble,unchanging
imnāle,hymns
imne,hymn
imner,hymnal
imōne,sexual
imōnge,encounter
imonien,commemorate
imouh,insolent
imouhnesse,insolence
impācience,resentment
impācient,angry
impācientlī,ill
impaiāble,implacable
impar,odd
impare,trees
impareled,decked
imparfit,sinful
imparfitlī,spiritual_yearnings
imparfitnesse,sinfulness
imparken,enclose
imparking,impoundment
imparten,contribute
impartīe,views
impe,tree
impedient,obstructing
impediment,impediment
impellen,push
impellencie,concave
impen,graft
impendent,mistranslation
impenetrāble,penetrate
impenitent,unrepentant
imperāte,governed
imperfecciǒun,defectiveness
imperiled,endangered
impermixt,unmixed
imperscrūtāble,inscrutable
impersōnāl,verbs
impertinent,inappropriate
impertinentlī,point
imperturbāble,undisturbed
impet,rapid
impeticiǒun,accusation
impetīgo,scaly_patches
impetǒus,rapid
impetren,beg
impetuǒus,burning
impetuǒusnes,speed
impietīe,wickedness
impiȝt,inserted
imping,%_#F########_9v.jsn
impinguāciǒun,fattening
implācāble,unappeasable
implainen,smooth
implanted,implanted
implēciǒun,fullness
implēment,required
implēte,filled
implēten,enlarge
implexiǒun,intertwining
implicāciǒun,complication
implicāment,entanglement
implicāt,involved
implicāten,fable
implīedlī,explicitly
implīen,involve
implītāble,impossible
impnalis,adder
impollūte,unpolluted
importāble,intolerable
importāblī,intolerably
important,weighty
importen,convey
importūne,dangerous
importūnlī,insistently
importūnes,enmity
impōsen,impose
imposiciǒun,tax
impost,doorway
impotence,powerlessness
impotencī,powerlessness
impotent,impotent
impǒunden,impound
impregnāciǒun,becoming
impregnen,pregnant
imprenāble,impregnable
impressāble,wax
impresselī,implicitly
impressen,imprint
impressiǒun,Crimp_edges
imprīvāble,everlasting
improberāble,irreproachable
improfitāble,useless
improporciǒun,disproportion
impropre,incorrect
improprelī,incorrectly
imprǒuement,profit
imprǒuen,leaks_resembled_geyser
imprōvidence,foresight
imprōvidentlī,rashly
imprūdence,imprudent
imprūdent,caution
impudence,shamelessness
impudent,shameless
impugnāciǒun,assault
impugnātǒur,assailant
impugnen,resist
impugner,contradicts
impugning,denying
impulsiǒun,pushing
impūre,mundane
imugon,able
imūndleas,senseless
imunen,remember
inabilitinge,disqualifying
inadvertence,carelessness
inanimāte,inanimate
inbērand,behaving
inbēten,stamp
inbiggen,dwell
inbillen,designate
in-bland,together
inblouen,swell
inborgh,surety
inbōrn,native
inbǒuen,bend
inbǒuende,strays
inbǒuing,hollow
inbrēthen,impart
inbrēthing,blast
inbringen,bring
inbringinge,book
inbune,enveloped
inburh,vestibule
inca,fear
incallen,cry
incallinge,summons
incantāciǒun,magic
incantātǒur,sorcerer
incantātrīce,sorceress
incarcerāciǒun,pus
incarceren,pack
incarnāciǒun,god
incarnāt,god
incarnen,tissue
incarnifīed,healed
incarning,sore
incastinge,instigation
incēden,progress
incēdent,pressing
incēding,line
incendiārīe,fires
incentīve,stimulus
incertain,uncertain
incerteined,assured
incertitūde,variability
incessāble,unceasing
incessaunte,unceasing
incessauntlī,unceasingly
incesse,wrinkles
inceste,kin
incestǒur,incest
incestus,sexual
inchaunǧeāble,unchangeable
inchaunǧen,complexion
inch,inch
inchoāciǒun,elementary
incidence,digression
incident,trivial
incinerāt,ashes
incivīle,conducive
inclēpen,pray
inclēping,invocation
inclīnāble,amenable
inclīnāciǒun,Heterosexual_intercourse
inclīnāte,sloping
inclūden,enclose
inclūdinglī,bloc
inclūs,recluse
inclūsed,confined
inclūsīvelī,limits
incoined,coin
incōlden,coldness
incǒmen,enter
incǒmere,enters
incǒming,entering
incommūtāble,immutable
incomparāble,comparison
incomparāblī,incomparably
incomplēt,inadequate
incomplētelī,completely
inconcussed,intact
incondīgne,appropriate
incongrue,incorrect
incongruent,discordant
incǒnning,ignorance
inconsōlāblī,inconsolably
inconstaunce,fickleness
inconstaunt,fickle
inconsuēte,unusual
inconsumpt,destroyed
incontinence,sexual
incontinencī,incontinence
incontinent,unchaste
incontinentī,instantly
incontinentlī,delay
inconvēnience,morally_blameworthy
inconvēniencī,danger
inconvēnient,constitutional_infirmities
inconvēnientīse,harm
inconvēnientlī,wrongfully
incorpen,incorporate
incorporāciǒun,inorganic_minerals
incorporāt,incorporeal
incorporāt,absorbed
incorporāten,blend
incorporeālle,incorporeal
incorporen,blend
incorporing,ingredients
incorrect,corrected
incorrupciǒun,immortality
incorrupt,Rom._#:##-##
incǒuped,ornament
incǒurs,assault
incǒuthe,stranger
incǒvenāble,unsuitable
incrēāt,god
incrēmentāciǒun,stimulating
increpāten,rebuke
incubus,Zeidan_lamented
incumbent,ecclesiastical
incunda,interior
incuned,fastened
incuniāte,fastened
incūrāble,Cerebral_palsy_involves
incurren,liable
incurvāte,eyelash
incurven,distort
incūsen,blame
incustumed,unaccustomed
incuttinge,cutting
indēclīnāble,unswerving
indēficient,inexhaustible
indēficientlīe,unceasingly
indēfīnītelī,vaguely
indelven,bury
indēpartāble,indivisible
indēpartāblī,inseparably
indēparted,inseparable
indēsinente,unceasing
indēsinentlī,ceasing
indēstināt,fade
indētermināblī,indefinitely
indētermināte,unmarked
indēvǒut,piety
indicāciǒun,treatment
indicātōrīe,judgment
indicciǒun,Routine_Paps_should
indifference,good
indifferencī,impartiality
indifferent,impartial_arbiters
indifferentlī,impartially
indiǧence,poverty
indiǧent,poor
indīǧestiǒun,digestion
indight,dressed
indignāciǒun,anger
indigne,unworthy
indisciplīnāte,undisciplined
indisciplīned,undisciplined
indiscussed,undiscussed
indispōsed,unprepared
indispōsiciǒun,disorder
indissolūblī,inseparably
indistinct,indiscriminately
indistinctlī,indiscriminately
indīviduāl,indivisible
indois,india
indomāble,untameable
indorsāte,back
indǒubted,doubted
indǒuing,food
indrauen,pull
indrauinge,inhalation
indres,gem
indrīven,rush
indrǒnkenand,pouring
indrōve,cattle
indubitāble,undoubted
indubitāblī,certainty
indubitātelī,doubt
inducciǒun,reasoning
inducten,persuade
inducting,priest
indūe,improper
indūelī,unjustly
induen,clothe
indulcōrāte,painful
indulǧence,leniency
indūrāble,transitory
indūrāciǒun,hardening
indūrāt,hardened
indūratīve,callus
indūte,clothed
indwellen,reside
indweller,resident
indwelling,fig
inēbriāt,exhilarated
ineffāble,indescribable
ineffāblī,indescribably
ineffecte,brought
ineffectūalle,effect
inēnarrāble,inexpressible
inēnarrāblī,indescribably
inentringe,entering
inēquāl,hour
ineschūāble,unavoidable
ineshen,soften
ineue,afresh
ineuen,restore
inexcōǧitāble,inconceivable
inexcūsāble,unpardonable
inexpert,untrained
inexpiāble,atone
inexplicāble,inexpressible
inexpungnāble,impregnable
inextermināblīe,interminably
inextinguible,unquenchable
inextirpāble,eradicate
inextrīcāble,impossible
infailāble,liable
infallible,incapable
infāme,dishonorable
infamen,starve
infāmen,shame
infāmī,dishonor
infāmis,disreputable
infancī,childhood
infantil,infancy
infāre,access
infāren,enter
infatuāte,foolish
infaunt,child
infecciǒun,disease
infēcǒunde,reproduce
infect,astrological
infecte,incomplete
infecten,infect
infecting,infected
infēriāl,lower
infēriōr,lower
infernāl,hell
infestāciǒun,infestation
infestāte,disturbed
infested,fastened
infesten,pain
infiched,stuck
infidele,infidel
infight,brawl
infighten,attack
infiltrāciǒun,knitting
infiltrāte,intertwined
infinitāciǒun,indefinite
infirme,feeble
infirmen,weaken
infistulāte,fistula
infixed,stuck
inflāciǒun,involuntary_spasms
inflammāble,inflammation
inflammāciǒun,inflammation
inflammāte,burning
inflāt,puffed
inflāten,blow
inflecten,bend
inflexiǒun,bending
inflingen,rush
inflouen,exert
inflouing,influx
influen,influence
influence,influence
influent,flowing
infōlden,embroil
infolwen,follow
infolwing,pursuit
informāciǒun,advice
infortūnāble,unlucky
infortūnācīe,causing
infortūnāt,misfortune
infortūnātlī,luck
infortūne,misfortune
infortūnen,miserable
infortūnī,calamity
infortūninge,malign
infosteren,mind
infǒunden,pour
infǒundren,collapse
infūden,pour
infunden,pour
infūse,incorporation
infūsen,soak
infūsiǒun,pouring
ingaderen,trap
ingangen,enter
inǧenerāble,substance
inǧeniāciǒun,method
inǧenī,device
inǧenīen,devise
inǧenīing,arrangement
inǧeniǒus,resourceful
inǧeniǒuslī,ingenuity
inǧent,mighty
inglīden,enter
ingnel,swift
ingōing,entrance
ingōn,enter
ingōnde,entrance
ingot,metal
ingraffen,graft
ingrāved,engraved
ingresse,entrance
ingressiǒun,usurpation
ingrōssāciǒun,droopiness
inguināle,groin
inguine,groin
inhabitāble,uninhabitable
inhabitāciǒun,dwelling
inhabitantes,inhabitants
inhabitāte,inhabited
inhabitātǒur,occupant
inhabitaunt,residing
inhēlden,pour
inhēritāǧen,inherit
in-heue,servant
inhiben,forbid
inhibiciǒun,prohibition
inhibiten,forbid
inhighten,adorn
inhīinge,exaltation
in-hīne,household
in-hōlder,innkeeper
inhoneste,obscene
inhonestelīche,indecently
inhumain,inhuman
inhundred,residence
inhurte,unhurt
inihīd,mind
inihstumnesse,abundance
inimen,seize
inimitāble,incomparable
inip,obscurity
iniwharven,inwards
injecciǒun,pouring
inject,thrown
injectōrīe,sterile_gauze
injūre,injustice
injūren,dishonor
injūrī,injustice
injūriǒus,insulting
injuste,unjust
injustīce,injustice
injustlī,unjustly
ink,object
inke,surnames
inked,ink
inke-horn,inkstand
inker,inker
inkitter,teeth
inklen,mention
inknight,servant
inknitten,restrain
inknouen,become
ink-self,reflexive
inlappen,overwhelm
inlastand,indwelling
inlāte,ingress
inlaue,outlaw
inlauen,law
inlauncen,projectile
inlēden,bring
inlēding,preface
inlēful,unlawful
inlendisc,indigenous
inlēpen,rush
inlēten,let
inlī,spiritual
inlīche,like
inlīen,weigh
inlīhēde,sincerity
inlīke,alike
inlōnd,land
inlōnds,port
inlouen,inflame
inmēte,entrails
inmēthe,harsh
inmōst,deepest
innancund,inward
innāt,inborn
innātūrāl,Disordered_eating
inne,keep
innen,within
inner,inner
innerere,inwards
innerest,deepest
innerlī,inward
innermō,inland
innermōr,inner
innermōst,innermost
innest,innermost
inne-ward,sincere
inning,leaks_resembled_geyser
innocence,innocence
innocencī,sin
innocent,person
innocentlī,guilt
innocentrīe,innocence
innocentshipe,innocence
innoiandnes,innocence
innōm,enclosure
innǒmbrāble,countless
innǒmbrāblī,infinitely
innǒmbred,unnumbered
innomināble,unmentionable
innōten,inscribe
innoth,womb
innǒur,innkeeper
innovāte,exchequer
innumerāble,countless
innumered,innumerable
innurhēd,dullness
inobēdience,disobedience
inobēdiencer,obey
inobēdiencī,disobedience
inobēdient,disobedient
inobēdientlīe,disobediently
inobeishaunce,disobedience
inobeishaunt,disobedient
inocūlāciǒun,grafting
inocūlāten,bud
inocūlinge,bud
inofficiāte,church
inome,repute
in-ōn,continuously
inopīe,poverty
inopīnāblī,inconceivably
inoppīnāble,inconceivable
inordināllī,excessively
inordināt,undisciplined
inordinātlī,excessively
inordinaunce,disorganization
inossāte,bone
inough,people
inoughen,abundant
inoughlī,abundantly
in-over,addition
inpenī,paid
inpēsiblī,restlessly
inputten,put
inputtinge,something
inquināciǒun,defilement
inquīrendum,investigation
inquīsītǒur,inspects
inrās,rushing
inrēd,reddish
inrēding,reading
inreǧistren,enter
inremembraunce,forgetfulness
inrenning,assault
inrepentaunt,penance
inrichelī,richly
inrīden,ride
inrinnen,meet
inrīsen,inevitably_Schulberg
inrīsere,insurgent
inrīsing,arising
inruide,cruel
insāciāble,incapable
insāciāt,insatiable
in-sāme,together
insāne,symbolic
insanien,pus
insapiens,attitude
insapient,wisdom
insaturāble,incapable
insauen,sow
inscīden,dissolve
inscīsed,slit
inscripciǒun,psalm
inscrīven,engrave
